IP | Tempo de Resposta | Classificacao | Faixa Etaria
192.168.217.46 | 0.46s | Crítico | <18
192.168.104.180 | 0.94s | Crítico | 18-30
192.168.179.218 | 0.62s | Normal | <18
192.168.204.240 | 3.74s | Crítico | <18
192.168.49.53 | 0.41s | Normal | <18
192.168.156.76 | 3.98s | Suspeito | 31-50
192.168.24.124 | 0.16s | Crítico | 51+
192.168.92.219 | 1.85s | Crítico | 31-50
192.168.150.5 | 2.98s | Suspeito | <18
192.168.118.236 | 3.70s | Suspeito | <18
192.168.180.109 | 3.37s | Crítico | 18-30
192.168.60.88 | 1.46s | Normal | 51+
192.168.214.119 | 2.76s | Crítico | 51+
192.168.227.151 | 3.36s | Suspeito | 18-30
192.168.6.89 | 4.52s | Suspeito | 18-30
192.168.38.186 | 2.29s | Suspeito | <18
192.168.98.185 | 1.75s | Crítico | 18-30
192.168.182.191 | 4.63s | Crítico | 18-30
192.168.63.156 | 3.17s | Suspeito | 31-50
192.168.169.242 | 4.71s | Crítico | 31-50
192.168.208.35 | 3.40s | Suspeito | 51+
192.168.224.3 | 3.68s | Crítico | 51+
192.168.133.161 | 4.26s | Crítico | 18-30
192.168.143.101 | 2.79s | Crítico | 18-30
192.168.215.249 | 4.34s | Suspeito | 51+
192.168.135.241 | 4.12s | Suspeito | 18-30
192.168.110.34 | 0.66s | Crítico | 18-30
192.168.128.85 | 4.22s | Suspeito | <18
192.168.3.158 | 1.61s | Crítico | <18
192.168.120.9 | 4.88s | Suspeito | 51+
192.168.159.42 | 4.97s | Suspeito | 31-50
192.168.166.57 | 4.19s | Crítico | 18-30
192.168.210.221 | 3.86s | Crítico | <18
192.168.149.48 | 0.28s | Crítico | 51+
192.168.85.13 | 0.24s | Crítico | 31-50
192.168.223.167 | 2.60s | Crítico | 51+
192.168.0.36 | 1.52s | Normal | 31-50
192.168.215.109 | 3.87s | Crítico | 31-50
192.168.48.26 | 3.59s | Crítico | <18
192.168.205.128 | 1.38s | Normal | <18
192.168.164.178 | 0.93s | Crítico | 18-30
192.168.159.160 | 4.51s | Crítico | 51+
192.168.154.152 | 3.06s | Suspeito | 51+
192.168.116.12 | 0.97s | Crítico | 31-50
192.168.133.52 | 2.03s | Suspeito | 31-50
192.168.99.237 | 4.53s | Suspeito | <18
192.168.4.80 | 1.65s | Normal | <18
192.168.137.147 | 3.41s | Suspeito | <18
192.168.192.147 | 1.97s | Normal | 51+
192.168.218.229 | 1.30s | Normal | 18-30
192.168.210.77 | 1.64s | Crítico | 18-30
192.168.90.213 | 1.84s | Crítico | 31-50
192.168.147.143 | 3.19s | Suspeito | 18-30
192.168.27.69 | 0.29s | Crítico | 18-30
192.168.237.223 | 4.60s | Crítico | <18
192.168.172.181 | 3.01s | Suspeito | 31-50
192.168.49.143 | 1.25s | Crítico | <18
192.168.79.126 | 1.74s | Normal | 18-30
192.168.245.107 | 3.00s | Crítico | 51+
192.168.1.29 | 4.78s | Crítico | 18-30
192.168.169.106 | 4.83s | Crítico | <18
192.168.248.67 | 2.66s | Crítico | 18-30
192.168.125.227 | 2.63s | Suspeito | 31-50
192.168.244.239 | 4.61s | Crítico | 18-30
192.168.100.36 | 0.80s | Normal | 31-50
192.168.97.0 | 3.25s | Suspeito | 18-30
192.168.175.214 | 4.78s | Crítico | 18-30
192.168.193.182 | 3.96s | Crítico | <18
192.168.1.35 | 4.25s | Crítico | <18
192.168.143.125 | 4.85s | Suspeito | <18
192.168.221.188 | 1.49s | Crítico | 18-30
192.168.253.170 | 3.95s | Suspeito | 18-30
192.168.95.5 | 3.14s | Suspeito | 18-30
192.168.161.57 | 4.23s | Crítico | 31-50
192.168.241.37 | 3.31s | Suspeito | 18-30
192.168.171.13 | 3.62s | Crítico | <18
192.168.69.41 | 0.97s | Crítico | 31-50
192.168.39.1 | 3.92s | Crítico | <18
192.168.172.67 | 2.84s | Crítico | 31-50
192.168.242.185 | 3.59s | Crítico | 31-50
192.168.206.207 | 0.25s | Normal | <18
192.168.157.238 | 4.70s | Suspeito | 51+
192.168.145.59 | 4.64s | Crítico | 18-30
192.168.186.198 | 4.56s | Crítico | 51+
192.168.74.231 | 2.01s | Crítico | <18
192.168.138.119 | 0.87s | Normal | 31-50
192.168.26.20 | 3.11s | Crítico | 31-50
192.168.189.223 | 1.47s | Crítico | 51+
192.168.120.205 | 2.17s | Suspeito | 31-50
192.168.201.71 | 1.88s | Normal | <18
192.168.44.218 | 2.46s | Crítico | 18-30
192.168.216.120 | 1.78s | Crítico | 31-50
192.168.250.143 | 3.85s | Crítico | 51+
192.168.224.137 | 3.57s | Suspeito | 31-50
192.168.56.62 | 3.45s | Crítico | <18
192.168.119.178 | 4.88s | Suspeito | <18
192.168.233.124 | 1.74s | Crítico | <18
192.168.0.97 | 0.53s | Crítico | 31-50
192.168.156.174 | 0.53s | Crítico | <18
192.168.29.58 | 0.53s | Crítico | <18
192.168.206.193 | 4.84s | Crítico | 18-30
192.168.205.59 | 0.76s | Crítico | 18-30
192.168.167.59 | 2.05s | Suspeito | 31-50
192.168.215.173 | 3.07s | Crítico | 18-30
192.168.101.24 | 0.97s | Crítico | 31-50
192.168.182.19 | 4.82s | Crítico | <18
192.168.55.244 | 3.42s | Crítico | 31-50
192.168.49.218 | 4.86s | Crítico | 18-30
192.168.201.184 | 4.44s | Suspeito | 51+
192.168.32.25 | 3.68s | Crítico | 51+
192.168.63.93 | 1.08s | Crítico | 18-30
192.168.116.224 | 4.04s | Suspeito | 51+
192.168.187.20 | 2.30s | Suspeito | 51+
192.168.160.192 | 1.31s | Crítico | 51+
192.168.172.23 | 3.67s | Suspeito | 31-50
192.168.10.236 | 4.76s | Crítico | 31-50
192.168.17.238 | 4.61s | Suspeito | <18
192.168.224.177 | 1.82s | Normal | 51+
192.168.112.236 | 0.97s | Crítico | 31-50
192.168.52.174 | 0.18s | Crítico | 31-50
192.168.102.176 | 1.50s | Normal | <18
192.168.169.149 | 1.98s | Normal | 51+
192.168.47.224 | 1.02s | Normal | <18
192.168.167.195 | 1.14s | Crítico | 31-50
192.168.243.189 | 4.10s | Crítico | <18
192.168.228.87 | 2.01s | Crítico | 51+
192.168.37.171 | 3.65s | Crítico | <18
192.168.106.104 | 3.96s | Suspeito | <18
192.168.22.75 | 3.76s | Crítico | 51+
192.168.210.194 | 4.93s | Crítico | 18-30
192.168.41.204 | 2.39s | Crítico | 51+
192.168.22.107 | 2.19s | Suspeito | 31-50
192.168.33.243 | 3.48s | Suspeito | 18-30
192.168.148.159 | 0.68s | Crítico | 51+
192.168.243.136 | 4.86s | Crítico | 51+
192.168.122.26 | 0.76s | Normal | <18
192.168.78.223 | 2.57s | Crítico | 31-50
192.168.28.134 | 0.23s | Crítico | 31-50
192.168.208.31 | 4.70s | Crítico | 18-30
192.168.46.83 | 3.12s | Suspeito | 18-30
192.168.99.158 | 3.63s | Suspeito | 51+
192.168.183.230 | 2.51s | Suspeito | 18-30
192.168.31.120 | 1.92s | Crítico | 18-30
192.168.219.183 | 2.49s | Suspeito | 18-30
192.168.192.254 | 2.95s | Suspeito | 18-30
192.168.198.214 | 1.49s | Crítico | <18
192.168.20.1 | 4.39s | Crítico | 31-50
192.168.89.79 | 4.31s | Crítico | <18
192.168.50.191 | 1.46s | Normal | 31-50
192.168.7.53 | 3.63s | Crítico | <18
192.168.151.24 | 4.56s | Crítico | 18-30
192.168.202.146 | 3.76s | Suspeito | 31-50
192.168.127.150 | 3.82s | Suspeito | 18-30
192.168.67.129 | 1.62s | Crítico | 31-50
192.168.166.13 | 1.04s | Crítico | <18
192.168.79.75 | 3.21s | Suspeito | 51+
192.168.113.5 | 0.11s | Normal | 51+
192.168.195.221 | 3.11s | Crítico | 31-50
192.168.227.67 | 3.61s | Suspeito | 51+
192.168.168.56 | 0.16s | Normal | 18-30
192.168.230.138 | 4.44s | Crítico | 31-50
192.168.232.222 | 0.85s | Normal | 18-30
192.168.24.104 | 3.14s | Crítico | <18
192.168.118.17 | 3.77s | Suspeito | 51+
192.168.3.107 | 0.19s | Crítico | 31-50
192.168.162.37 | 3.48s | Suspeito | <18
192.168.82.201 | 0.47s | Crítico | 51+
192.168.9.60 | 4.85s | Crítico | <18
192.168.92.139 | 2.56s | Suspeito | 51+
192.168.163.32 | 1.91s | Crítico | 51+
192.168.171.134 | 0.93s | Crítico | <18
192.168.146.143 | 3.13s | Suspeito | 51+
192.168.238.152 | 1.85s | Normal | 18-30
192.168.47.29 | 0.93s | Normal | <18
192.168.131.177 | 0.25s | Crítico | 31-50
192.168.198.85 | 3.85s | Crítico | <18
192.168.211.224 | 1.92s | Normal | 18-30
192.168.114.164 | 0.21s | Normal | 31-50
192.168.83.48 | 0.85s | Normal | <18
192.168.130.66 | 2.96s | Suspeito | 31-50
192.168.51.213 | 1.14s | Normal | <18
192.168.231.236 | 0.96s | Crítico | 18-30
192.168.35.198 | 3.67s | Crítico | <18
192.168.100.177 | 3.00s | Suspeito | 31-50
192.168.227.67 | 4.39s | Crítico | 31-50
192.168.71.45 | 0.48s | Normal | 51+
192.168.8.167 | 1.41s | Normal | <18
192.168.159.47 | 2.64s | Suspeito | <18
192.168.37.159 | 4.27s | Suspeito | 51+
192.168.12.40 | 0.50s | Normal | 51+
192.168.131.81 | 3.29s | Suspeito | 18-30
192.168.66.82 | 4.79s | Suspeito | <18
192.168.8.123 | 4.85s | Crítico | 31-50
192.168.241.193 | 0.83s | Normal | 18-30
192.168.42.80 | 3.91s | Suspeito | 31-50
192.168.48.191 | 2.09s | Crítico | <18
192.168.26.18 | 0.44s | Normal | 18-30
192.168.36.53 | 3.23s | Suspeito | 31-50
192.168.142.150 | 4.06s | Crítico | 31-50
192.168.146.209 | 2.12s | Suspeito | 18-30
192.168.157.218 | 1.97s | Normal | 31-50
192.168.94.135 | 4.08s | Crítico | 31-50
192.168.82.164 | 1.67s | Normal | 31-50
192.168.248.118 | 4.63s | Suspeito | <18
192.168.94.100 | 3.15s | Crítico | 18-30
192.168.99.114 | 2.90s | Crítico | 18-30
192.168.107.245 | 2.36s | Suspeito | 18-30
192.168.82.144 | 3.46s | Suspeito | 18-30
192.168.68.217 | 3.33s | Suspeito | <18
192.168.53.182 | 3.00s | Suspeito | 18-30
192.168.184.159 | 2.50s | Crítico | 31-50
192.168.140.251 | 3.78s | Crítico | 31-50
192.168.103.191 | 1.39s | Normal | <18
192.168.242.228 | 3.12s | Crítico | 51+
192.168.37.74 | 3.08s | Suspeito | 18-30
192.168.250.11 | 0.32s | Normal | 51+
192.168.137.227 | 1.98s | Normal | 18-30
192.168.197.140 | 0.46s | Crítico | 31-50
192.168.13.123 | 2.05s | Crítico | 18-30
192.168.114.119 | 3.11s | Crítico | 31-50
192.168.84.210 | 4.57s | Suspeito | 51+
192.168.104.75 | 4.72s | Suspeito | <18
192.168.172.57 | 4.04s | Crítico | 18-30
192.168.10.7 | 4.70s | Suspeito | <18
192.168.98.92 | 4.21s | Crítico | 18-30
192.168.63.196 | 0.84s | Normal | <18
192.168.24.61 | 0.15s | Normal | 31-50
192.168.62.196 | 0.16s | Normal | <18
192.168.231.150 | 0.91s | Normal | 51+
192.168.177.39 | 4.63s | Crítico | <18
192.168.130.19 | 3.24s | Suspeito | 51+
192.168.16.223 | 4.77s | Crítico | 31-50
192.168.79.78 | 3.20s | Suspeito | 18-30
192.168.168.5 | 1.71s | Normal | <18
192.168.215.115 | 4.06s | Suspeito | 51+
192.168.44.137 | 4.53s | Suspeito | 51+
192.168.254.202 | 1.75s | Crítico | 31-50
192.168.49.56 | 2.98s | Suspeito | 51+
192.168.72.14 | 1.10s | Normal | 31-50
192.168.10.68 | 1.70s | Crítico | 18-30
192.168.215.253 | 3.70s | Suspeito | 31-50
192.168.153.9 | 1.30s | Crítico | 31-50
192.168.233.88 | 0.72s | Crítico | 18-30
192.168.203.5 | 1.45s | Normal | <18
192.168.87.100 | 3.34s | Crítico | 18-30
192.168.67.153 | 4.51s | Crítico | 51+
192.168.201.165 | 3.15s | Crítico | 51+
192.168.94.18 | 0.56s | Crítico | 31-50
192.168.132.187 | 2.24s | Crítico | 51+
192.168.230.71 | 4.81s | Suspeito | 18-30
192.168.227.229 | 0.90s | Normal | <18
192.168.219.38 | 2.58s | Crítico | 51+
192.168.119.133 | 0.55s | Normal | <18
192.168.192.88 | 3.44s | Suspeito | 18-30
192.168.4.114 | 2.38s | Suspeito | 18-30
192.168.22.164 | 3.66s | Crítico | 51+
192.168.35.125 | 1.17s | Crítico | 51+
192.168.140.141 | 1.09s | Normal | <18
192.168.185.187 | 2.88s | Suspeito | <18
192.168.42.155 | 2.16s | Suspeito | 18-30
192.168.186.232 | 3.97s | Suspeito | 18-30
192.168.117.33 | 3.73s | Suspeito | <18
192.168.9.33 | 1.46s | Normal | <18
192.168.75.67 | 0.20s | Crítico | 31-50
192.168.60.79 | 4.68s | Crítico | <18
192.168.102.215 | 2.05s | Suspeito | 51+
192.168.151.173 | 3.87s | Crítico | <18
192.168.166.28 | 4.61s | Suspeito | 18-30
192.168.41.249 | 1.17s | Normal | 51+
192.168.115.142 | 3.95s | Suspeito | 51+
192.168.138.117 | 2.93s | Suspeito | <18
192.168.230.42 | 3.33s | Suspeito | <18
192.168.131.181 | 3.21s | Crítico | 31-50
192.168.149.142 | 2.97s | Crítico | 31-50
192.168.252.29 | 3.60s | Suspeito | 31-50
192.168.245.176 | 2.56s | Crítico | <18
192.168.63.36 | 0.48s | Normal | 18-30
192.168.170.187 | 2.30s | Crítico | 18-30
192.168.61.147 | 4.75s | Suspeito | <18
192.168.204.189 | 0.29s | Normal | <18
192.168.166.88 | 4.11s | Suspeito | <18
192.168.3.43 | 2.25s | Suspeito | 18-30
192.168.91.232 | 3.15s | Suspeito | <18
192.168.71.239 | 2.07s | Suspeito | 31-50
192.168.4.42 | 2.56s | Crítico | 51+
192.168.167.192 | 0.45s | Crítico | 51+
192.168.100.147 | 3.28s | Suspeito | <18
192.168.86.226 | 3.92s | Crítico | 18-30
192.168.168.201 | 2.47s | Crítico | 51+
192.168.150.140 | 2.44s | Suspeito | <18
192.168.11.23 | 4.33s | Suspeito | 31-50
192.168.81.162 | 1.93s | Normal | <18
192.168.254.132 | 4.95s | Suspeito | 51+
192.168.200.3 | 4.93s | Suspeito | 18-30
192.168.189.47 | 2.91s | Suspeito | 18-30
192.168.252.110 | 4.12s | Crítico | <18
192.168.242.196 | 3.86s | Crítico | <18
192.168.167.101 | 4.27s | Suspeito | 18-30
192.168.124.65 | 0.11s | Crítico | 18-30
192.168.163.0 | 2.94s | Crítico | <18
192.168.152.250 | 2.89s | Crítico | 51+
192.168.190.88 | 3.88s | Crítico | 51+
192.168.96.177 | 4.27s | Crítico | 18-30
192.168.165.129 | 4.85s | Suspeito | 51+
192.168.94.162 | 3.23s | Crítico | 51+
192.168.202.117 | 0.55s | Crítico | <18
192.168.21.123 | 2.21s | Suspeito | 18-30
192.168.189.211 | 2.61s | Crítico | 18-30
192.168.204.189 | 1.53s | Normal | <18
192.168.138.253 | 1.57s | Crítico | 18-30
192.168.234.142 | 4.75s | Crítico | 51+
192.168.7.117 | 3.49s | Crítico | 31-50
192.168.129.189 | 4.67s | Suspeito | 31-50
192.168.15.192 | 3.10s | Crítico | 31-50
192.168.121.193 | 1.11s | Normal | 18-30
192.168.63.101 | 0.44s | Crítico | <18
192.168.19.135 | 3.25s | Crítico | 51+
192.168.248.107 | 4.11s | Suspeito | 51+
192.168.185.88 | 2.25s | Suspeito | 31-50
192.168.20.109 | 2.06s | Crítico | <18
192.168.64.94 | 2.74s | Crítico | 31-50
192.168.138.173 | 4.37s | Crítico | 31-50
192.168.187.141 | 0.97s | Crítico | 51+
192.168.103.228 | 0.59s | Crítico | <18
192.168.231.226 | 2.29s | Suspeito | 51+
192.168.115.221 | 2.47s | Suspeito | <18
192.168.146.205 | 1.46s | Crítico | 31-50
192.168.94.57 | 1.40s | Normal | 31-50
192.168.178.37 | 0.73s | Crítico | <18
192.168.40.166 | 0.50s | Normal | <18
192.168.8.41 | 2.22s | Crítico | 51+
192.168.29.90 | 4.72s | Suspeito | <18
192.168.141.234 | 1.10s | Crítico | 31-50
192.168.5.89 | 2.99s | Crítico | 18-30
192.168.4.50 | 0.60s | Crítico | <18
192.168.194.25 | 0.67s | Crítico | 51+
192.168.37.118 | 0.12s | Crítico | 31-50
192.168.47.58 | 2.50s | Suspeito | 51+
192.168.225.110 | 4.47s | Suspeito | 51+
192.168.81.154 | 1.13s | Normal | 51+
192.168.18.239 | 0.34s | Crítico | 31-50
192.168.10.55 | 2.32s | Suspeito | 18-30
192.168.6.11 | 1.13s | Crítico | 31-50
192.168.4.110 | 3.34s | Suspeito | 31-50
192.168.185.70 | 4.67s | Crítico | 18-30
192.168.112.116 | 1.05s | Normal | 18-30
192.168.102.207 | 0.26s | Crítico | 31-50
192.168.92.12 | 0.65s | Normal | <18
192.168.153.46 | 4.39s | Crítico | <18
192.168.130.87 | 4.24s | Crítico | 31-50
192.168.46.173 | 4.02s | Crítico | 31-50
192.168.66.178 | 3.77s | Crítico | 31-50
192.168.158.239 | 1.12s | Normal | 31-50
192.168.150.233 | 2.24s | Crítico | 51+
192.168.5.155 | 1.96s | Normal | <18
192.168.170.188 | 3.55s | Crítico | 31-50
192.168.23.167 | 2.95s | Suspeito | 18-30
192.168.6.182 | 4.36s | Suspeito | 18-30
192.168.2.100 | 3.42s | Crítico | 31-50
192.168.131.72 | 1.65s | Normal | 51+
192.168.38.179 | 4.27s | Suspeito | 18-30
192.168.131.88 | 4.37s | Suspeito | 18-30
192.168.187.160 | 0.66s | Crítico | <18
192.168.183.199 | 0.50s | Normal | 31-50
192.168.67.80 | 0.37s | Crítico | 18-30
192.168.87.197 | 2.17s | Crítico | 51+
192.168.147.220 | 3.71s | Crítico | 31-50
192.168.162.206 | 3.21s | Suspeito | 18-30
192.168.134.187 | 3.96s | Suspeito | 31-50
192.168.224.188 | 3.22s | Crítico | <18
192.168.144.231 | 4.66s | Suspeito | 18-30
192.168.82.154 | 1.87s | Crítico | <18
192.168.109.179 | 1.77s | Normal | 18-30
192.168.110.45 | 1.59s | Normal | 31-50
192.168.59.57 | 1.80s | Crítico | 18-30
192.168.116.142 | 0.85s | Crítico | 18-30
192.168.47.245 | 4.03s | Crítico | 51+
192.168.86.119 | 2.67s | Crítico | 51+
192.168.58.228 | 1.87s | Crítico | 18-30
192.168.82.115 | 2.79s | Suspeito | <18
192.168.95.122 | 4.18s | Suspeito | 51+
192.168.2.202 | 0.72s | Crítico | 31-50
192.168.192.76 | 3.92s | Crítico | 18-30
192.168.83.248 | 1.60s | Crítico | 31-50
192.168.250.170 | 4.18s | Suspeito | 31-50
192.168.180.209 | 4.97s | Crítico | 31-50
192.168.87.166 | 0.36s | Normal | <18
192.168.116.233 | 0.83s | Crítico | 31-50
192.168.208.169 | 3.31s | Crítico | 51+
192.168.179.54 | 1.79s | Normal | 18-30
192.168.229.6 | 1.99s | Normal | 18-30
192.168.224.190 | 2.66s | Suspeito | 31-50
192.168.118.95 | 1.05s | Crítico | 51+
192.168.8.45 | 3.25s | Crítico | 31-50
192.168.137.61 | 3.73s | Crítico | 18-30
192.168.180.240 | 2.72s | Crítico | 31-50
192.168.182.220 | 3.53s | Suspeito | 51+
192.168.4.16 | 3.35s | Crítico | 18-30
192.168.195.27 | 1.46s | Normal | 18-30
192.168.38.71 | 0.23s | Normal | 31-50
192.168.129.210 | 2.04s | Suspeito | 31-50
192.168.49.37 | 0.32s | Normal | <18
192.168.14.137 | 4.19s | Suspeito | 31-50
192.168.147.131 | 2.40s | Suspeito | 18-30
192.168.43.221 | 1.16s | Crítico | 31-50
192.168.106.120 | 1.78s | Crítico | <18
192.168.46.43 | 0.53s | Normal | <18
192.168.42.207 | 2.61s | Suspeito | 31-50
192.168.63.76 | 1.05s | Normal | 51+
192.168.75.30 | 1.34s | Crítico | 51+
192.168.104.9 | 0.47s | Crítico | <18
192.168.101.113 | 3.34s | Suspeito | <18
192.168.160.243 | 1.36s | Crítico | 51+
192.168.167.209 | 4.36s | Crítico | <18
192.168.78.171 | 1.82s | Normal | <18
192.168.232.194 | 0.24s | Normal | <18
192.168.241.159 | 0.79s | Normal | 18-30
192.168.28.219 | 2.68s | Suspeito | 31-50
192.168.144.206 | 3.22s | Crítico | 31-50
192.168.255.86 | 3.52s | Suspeito | 31-50
192.168.43.20 | 3.50s | Suspeito | 51+
192.168.228.185 | 0.74s | Crítico | 18-30
192.168.136.181 | 1.61s | Crítico | 18-30
192.168.203.33 | 4.08s | Crítico | 18-30
192.168.0.79 | 2.20s | Suspeito | 18-30
192.168.221.220 | 4.55s | Crítico | 31-50
192.168.14.210 | 0.18s | Crítico | 31-50
192.168.255.65 | 1.86s | Crítico | 31-50
192.168.108.228 | 3.18s | Crítico | <18
192.168.116.213 | 1.59s | Crítico | <18
